Species,Genus,Family,Order,Ploidy,Base,Chromosome_number,No_diff_ploidies
Rubus pedemontanus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus permundus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus phaeocarpus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus phoenicolasius,Rubus,Rosaceae,Rosales,2,7,14,1
Rubus plicatus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus podophyllus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus polyanthemus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus praecox,Rubus,Rosaceae,Rosales,"4, 7",7,"28, 49",2
Rubus proiectus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus pruinosus,Rubus,Rosaceae,Rosales,5,7,35,1
Rubus pyramidalis,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus questieri,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus radula,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus rhombifolius,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus rosaceus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus rotundifolius,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus rubritinctus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus rufescens,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus salteri,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus saxatilis,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus scaber,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus sciocharis,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus scissus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus silvaticus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus sprengelii,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus subinermoides,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus subtercanens,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus sulcatus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus tardus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus ulmifolius,Rubus,Rosaceae,Rosales,"2, 4",7,"14, 28",2
Rubus vigorosus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus warrenii,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus winteri,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus wolleydodii,Rubus,Rosaceae,Rosales,4,7,28,1
Rumex acetosa,Rumex,Polygonaceae,Caryophyllales,2,7,14,1
Rumex acetosella,Rumex,Polygonaceae,Caryophyllales,"4, 6",7,"28, 42",2
Rumex conglomeratus,Rumex,Polygonaceae,Caryophyllales,2,10,20,1
Rumex crispus,Rumex,Polygonaceae,Caryophyllales,6,10,60,1
Rumex cristatus,Rumex,Polygonaceae,Caryophyllales,8,10,80,1
Rumex dentatus,Rumex,Polygonaceae,Caryophyllales,4,10,40,1
Rumex frutescens,Rumex,Polygonaceae,Caryophyllales,16,10,160,1
Rumex hydrolapathum,Rumex,Polygonaceae,Caryophyllales,13,10,130,1
Rumex longifolius,Rumex,Polygonaceae,Caryophyllales,6,10,60,1
Rumex maritimus,Rumex,Polygonaceae,Caryophyllales,4,10,40,1
Rumex obovatus,Rumex,Polygonaceae,Caryophyllales,4,10,40,1
Rumex obtusifolius,Rumex,Polygonaceae,Caryophyllales,4,10,40,1
Rumex palustris,Rumex,Polygonaceae,Caryophyllales,6,10,60,1
Rumex patientia,Rumex,Polygonaceae,Caryophyllales,6,10,60,1
Rumex rupestris,Rumex,Polygonaceae,Caryophyllales,2,10,20,1
Rumex sanguineus,Rumex,Polygonaceae,Caryophyllales,2,10,20,1
Ruppia cirrhosa,Ruppia,Ruppiaceae,Alismatales,4,10,40,1
Ruppia maritima,Ruppia,Ruppiaceae,Alismatales,2,10,20,1
Ruscus aculeatus,Ruscus,Asparagaceae,Asparagales,2,20,40,1
Sagina apetala,Sagina,Caryophyllaceae,Caryophyllales,2,6,12,1
Sagina filicaulis,Sagina,Caryophyllaceae,Caryophyllales,2,6,12,1
Sagina maritima,Sagina,Caryophyllaceae,Caryophyllales,4,7,28,1
Sagina nodosa,Sagina,Caryophyllaceae,Caryophyllales,5,11,56,1
Sagina procumbens,Sagina,Caryophyllaceae,Caryophyllales,2,11,22,1
Sagina saginoides,Sagina,Caryophyllaceae,Caryophyllales,2,11,22,1
Sagina subulata,Sagina,Caryophyllaceae,Caryophyllales,2,11,22,1
Salicornia dolichostachya,Salicornia,Amaranthaceae,Caryophyllales,4,9,36,1
Salicornia emerici,Salicornia,Amaranthaceae,Caryophyllales,4,9,36,1
Salicornia europaea,Salicornia,Amaranthaceae,Caryophyllales,"2, 4",9,"18, 36",2
Salicornia nitens,Salicornia,Amaranthaceae,Caryophyllales,4,9,36,1
Salicornia obscura,Salicornia,Amaranthaceae,Caryophyllales,2,9,18,1
Salicornia pusilla,Salicornia,Amaranthaceae,Caryophyllales,2,9,"16, 18",1
Salicornia ramosissima,Salicornia,Amaranthaceae,Caryophyllales,"2, 4",9,"18, 36",2
Salix acutifolia,Salix,Salicaceae,Malpighiales,2,19,38,1
Salix alba,Salix,Salicaceae,Malpighiales,4,19,76,1
Salix arbuscula,Salix,Salicaceae,Malpighiales,2,19,38,1
Salix atrocinerea,Salix,Salicaceae,Malpighiales,4,19,76,1
Salix aurita,Salix,Salicaceae,Malpighiales,4,19,76,1
Salix babylonica,Salix,Salicaceae,Malpighiales,4,19,76,1
Salix caprea,Salix,Salicaceae,Malpighiales,2,19,38,1
Salix cinerea,Salix,Salicaceae,Malpighiales,4,19,76,1
Salix daphnoides,Salix,Salicaceae,Malpighiales,2,19,38,1
Salix euxina,Salix,Salicaceae,Malpighiales,4,19,76,1
Salix fragilis,Salix,Salicaceae,Malpighiales,4,19,76,1
Salix herbacea,Salix,Salicaceae,Malpighiales,2,19,38,1
Salix lanata,Salix,Salicaceae,Malpighiales,2,19,38,1
Salix lapponum,Salix,Salicaceae,Malpighiales,"2, 4",19,"38, 76",2
Salix myrsinifolia,Salix,Salicaceae,Malpighiales,6,19,114,1
Salix myrsinites,Salix,Salicaceae,Malpighiales,2,19,38,1
Salix pentandra,Salix,Salicaceae,Malpighiales,4,19,76,1
Salix purpurea,Salix,Salicaceae,Malpighiales,2,19,38,1
Salix repens,Salix,Salicaceae,Malpighiales,2,18,36,1
Salix reticulata,Salix,Salicaceae,Malpighiales,2,19,38,1
Salix triandra,Salix,Salicaceae,Malpighiales,2,19,38,1
Salix viminalis,Salix,Salicaceae,Malpighiales,2,19,38,1
Salsola kali,Salsola,Amaranthaceae,Caryophyllales,4,9,36,1
Salvia verbenaca,Salvia,Lamiaceae,Lamiales,6,9,54,1
Sambucus ebulus,Sambucus,Adoxaceae,Dipsacales,2,18,36,1
Sambucus nigra,Sambucus,Adoxaceae,Dipsacales,2,18,36,1
Sanguisorba minor,Sanguisorba,Rosaceae,Rosales,4,7,28,1
Sanguisorba officinalis,Sanguisorba,Rosaceae,Rosales,"4, 8",7,"28, 56",2
Sanicula europaea,Sanicula,Apiaceae,Apiales,2,8,16,1
Saponaria officinalis,Saponaria,Caryophyllaceae,Caryophyllales,2,14,28,1
Sarcocornia perennis,Sarcocornia,Amaranthaceae,Caryophyllales,2,9,18,1
Saussurea alpina,Saussurea,Asteraceae,Asterales,6,9,54,1
Saxifraga cuneifolia,Saxifraga,Saxifragaceae,Saxifragales,4,7,28,1
Saxifraga granulata,Saxifraga,Saxifragaceae,Saxifragales,3,11,32,1
Saxifraga hirsuta,Saxifraga,Saxifragaceae,Saxifragales,4,7,28,1
Saxifraga hypnoides,Saxifraga,Saxifragaceae,Saxifragales,"3 (+2), 4 (-2), 6, 7 (-4), 8",8,"26, 30, 48, 52, 64",5
Saxifraga oppositifolia,Saxifraga,Saxifragaceae,Saxifragales,2,13,26,1
Saxifraga rosacea,Saxifraga,Saxifragaceae,Saxifragales,"4, 6, 7 (-4), 8",8,"32, 48, 52, 64",4
Saxifraga spathularis,Saxifraga,Saxifragaceae,Saxifragales,4,7,28,1
Saxifraga stellaris,Saxifraga,Saxifragaceae,Saxifragales,4,7,28,1
Saxifraga umbrosa,Saxifraga,Saxifragaceae,Saxifragales,4,7,28,1
Scabiosa columbaria,Scabiosa,Caprifoliaceae,Dipsacales,2,8,16,1
Scheuchzeria palustris,Scheuchzeria,Scheuchzeriaceae,Alismatales,2,11,22,1
Scilla verna,Scilla,Asparagaceae,Asparagales,2,10,"20, 22",1
Scolochloa festucacea,Scolochloa,Poaceae,Poales,6,7,42,1
Scorzonera humilis,Scorzonera,Asteraceae,Asterales,2,7,14,1
Scorzoneroides autumnalis,Scorzoneroides,Asteraceae,Asterales,3,4,12,1
Scrophularia nodosa,Scrophularia,Scrophulariaceae,Lamiales,2,18,36,1
Scrophularia umbrosa,Scrophularia,Scrophulariaceae,Lamiales,"2, 4 (-2), 4",20,"40, 78, 80",2
Scutellaria galericulata,Scutellaria,Lamiaceae,Lamiales,4,8,"30, 32",1
Secale cereale,Secale,Poaceae,Poales,2,7,14,1
Sedum album,Sedum,Crassulaceae,Saxifragales,2,17,34,1
Sedum forsterianum,Sedum,Crassulaceae,Saxifragales,8,12,90,1
Sedum telephium,Sedum,Crassulaceae,Saxifragales,2,12,"24, 26",1
Senecio aquaticus,Senecio,Asteraceae,Asterales,4,10,40,1
Senecio cambrensis,Senecio,Asteraceae,Asterales,6,10,60,1
Senecio erucifolius,Senecio,Asteraceae,Asterales,4,10,40,1
Senecio jacobaea,Senecio,Asteraceae,Asterales,4,10,40,1
Senecio leucanthemifolius,Senecio,Asteraceae,Asterales,2,10,20,1
Senecio squalidus,Senecio,Asteraceae,Asterales,2,10,20,1
Senecio sylvaticus,Senecio,Asteraceae,Asterales,4,10,40,1
Senecio viscosus,Senecio,Asteraceae,Asterales,4,10,40,1
Senecio vulgaris,Senecio,Asteraceae,Asterales,4,10,40,1
Sesleria albicans,Sesleria,Poaceae,Poales,4,7,28,1
Sesleria caerulea,Sesleria,Poaceae,Poales,4,7,28,1
Silene acaulis,Silene,Caryophyllaceae,Caryophyllales,2,12,24,1
Silene dioica,Silene,Caryophyllaceae,Caryophyllales,2,12,24,1
Silene gallica,Silene,Caryophyllaceae,Caryophyllales,2,12,24,1
Silene latifolia,Silene,Caryophyllaceae,Caryophyllales,2,12,24,1
Silene noctiflora,Silene,Caryophyllaceae,Caryophyllales,2,12,24,1
Silene nutans,Silene,Caryophyllaceae,Caryophyllales,2,12,24,1
Silene otites,Silene,Caryophyllaceae,Caryophyllales,2,12,24,1
Silene suecica,Silene,Caryophyllaceae,Caryophyllales,2,12,24,1
Silene uniflora,Silene,Caryophyllaceae,Caryophyllales,2,12,24,1
Silene viscaria,Silene,Caryophyllaceae,Caryophyllales,2,12,24,1
Silene vulgaris,Silene,Caryophyllaceae,Caryophyllales,2,12,24,1
Sinapis alba,Sinapis,Brassicaceae,Brassicales,3,8,24,1
Sinapis arvensis,Sinapis,Brassicaceae,Brassicales,2,9,18,1
Sisymbrium officinale,Sisymbrium,Brassicaceae,Brassicales,2,7,14,1
Sisyrinchium bermudiana,Sisyrinchium,Iridaceae,Asparagales,"8, 11, 12",8,"64, 88, 96",3
Solanum americanum,Solanum,Solanaceae,Solanales,6,12,72,1
Solanum dulcamara,Solanum,Solanaceae,Solanales,2,12,24,1
Solanum nigrum,Solanum,Solanaceae,Solanales,6,12,72,1
Solanum physalifolium,Solanum,Solanaceae,Solanales,2,12,24,1
Solanum sarachoides,Solanum,Solanaceae,Solanales,2,12,24,1
Solidago virgaurea,Solidago,Asteraceae,Asterales,2,9,18,1
Sonchus arvensis,Sonchus,Asteraceae,Asterales,6,9,54,1
Sonchus asper,Sonchus,Asteraceae,Asterales,2,9,"18, 25",1
Sonchus oleraceus,Sonchus,Asteraceae,Asterales,4,8,32,1
Sonchus palustris,Sonchus,Asteraceae,Asterales,2,9,18,1
Sorbus anglica,Sorbus,Rosaceae,Rosales,4,17,68,1
Sorbus aria,Sorbus,Rosaceae,Rosales,2,17,34,1
Sorbus arranensis,Sorbus,Rosaceae,Rosales,3,17,51,1
Sorbus aucuparia,Sorbus,Rosaceae,Rosales,2,17,34,1
Sorbus bristoliensis,Sorbus,Rosaceae,Rosales,3,17,51,1
Sorbus devoniensis,Sorbus,Rosaceae,Rosales,4,17,68,1
Sorbus eminens,Sorbus,Rosaceae,Rosales,4,17,68,1
Sorbus eminentiformis,Sorbus,Rosaceae,Rosales,4,17,68,1
Sorbus intermedia,Sorbus,Rosaceae,Rosales,4,17,68,1
Sorbus lancastriensis,Sorbus,Rosaceae,Rosales,4,17,68,1
Sorbus latifolia,Sorbus,Rosaceae,Rosales,"3, 4",17,"51, 68",2
Sorbus leptophylla,Sorbus,Rosaceae,Rosales,"3, 4",17,"51, 68",2
Sorbus leyana,Sorbus,Rosaceae,Rosales,3,17,51,1
Sorbus minima,Sorbus,Rosaceae,Rosales,3,17,51,1
Sorbus porrigentiformis,Sorbus,Rosaceae,Rosales,"2, 4",17,"34, 68",2
Sorbus pseudofennica,Sorbus,Rosaceae,Rosales,3,17,51,1
Sorbus rupicola,Sorbus,Rosaceae,Rosales,"2, 3, 4",17,"34, 51, 68",3
Sorbus scalaris,Sorbus,Rosaceae,Rosales,2,17,34,1
Sorbus torminalis,Sorbus,Rosaceae,Rosales,2,17,34,1
Sorbus vexans,Sorbus,Rosaceae,Rosales,4,17,68,1
Sorbus wilmottiana,Sorbus,Rosaceae,Rosales,3,17,51,1
Sparganium angustifolium,Sparganium,Typhaceae,Poales,2,15,30,1
Sparganium emersum,Sparganium,Typhaceae,Poales,2,15,30,1
Sparganium erectum,Sparganium,Typhaceae,Poales,2,15,30,1
Spartina anglica,Spartina,Poaceae,Poales,"9, 12, 12 (+2), 12 (+4)",10,"90, 120, 122, 124",2
Spartina maritima,Spartina,Poaceae,Poales,6,10,60,1
Spergularia bocconei,Spergularia,Caryophyllaceae,Caryophyllales,2,9,36,1
Spergularia marina,Spergularia,Caryophyllaceae,Caryophyllales,2,9,36,1
Spergularia media,Spergularia,Caryophyllaceae,Caryophyllales,"2, 4",9,"18, 36",2
Spergularia rubra,Spergularia,Caryophyllaceae,Caryophyllales,2,9,36,1
Spergularia rupicola,Spergularia,Caryophyllaceae,Caryophyllales,2,9,36,1
Spiraea alba,Spiraea,Rosaceae,Rosales,4,9,36,1
Spiraea douglasii,Spiraea,Rosaceae,Rosales,4,9,36,1
Spiraea salicifolia,Spiraea,Rosaceae,Rosales,4,9,36,1
Spiranthes romanzoffiana,Spiranthes,Orchidaceae,Asparagales,4,15,60,1
Spiranthes spiralis,Spiranthes,Orchidaceae,Asparagales,2,15,30,1
Spirodela polyrhiza,Spirodela,Araceae,Alismatales,4,20,80,1
Spirodela polyrrhiza,Spirodela,Araceae,Alismatales,2,20,40,1
Stachys alpina,Stachys,Lamiaceae,Lamiales,2,15,30,1
Stachys arvensis,Stachys,Lamiaceae,Lamiales,2,5,10,1
Stachys officinalis,Stachys,Lamiaceae,Lamiales,2,8,16,1
Stachys palustris,Stachys,Lamiaceae,Lamiales,6,17,"102, 103",1
Stachys sylvatica,Stachys,Lamiaceae,Lamiales,8,8,64,1
Stellaria graminea,Stellaria,Caryophyllaceae,Caryophyllales,2,13,26,1
Stellaria holostea,Stellaria,Caryophyllaceae,Caryophyllales,2,13,26,1
Stellaria media,Stellaria,Caryophyllaceae,Caryophyllales,"2, 4 (-4), 4",11,"22, 40, 44",2
Stellaria nemorum,Stellaria,Caryophyllaceae,Caryophyllales,2,13,26,1
Stellaria palustris,Stellaria,Caryophyllaceae,Caryophyllales,10,13,130,1
Stellaria uliginosa,Stellaria,Caryophyllaceae,Caryophyllales,2,13,"24, 26",1
Stuckenia filiformis,Stuckenia,Potamogetonaceae,Alismatales,6,13,78,1
Stuckenia pectinata,Stuckenia,Potamogetonaceae,Alismatales,6,13,78,1
Suaeda maritima,Suaeda,Amaranthaceae,Caryophyllales,4,9,36,1
Suaeda vera,Suaeda,Amaranthaceae,Caryophyllales,4,9,36,1
Succisa pratensis,Succisa,Caprifoliaceae,Dipsacales,2,10,20,1
Symphyotrichum laeve,Symphyotrichum,Asteraceae,Asterales,6,8,48,1
Symphyotrichum novi-belgii,Symphyotrichum,Asteraceae,Asterales,6,8,48,1
Symphytum asperum,Symphytum,Boraginaceae,Boraginales,4,8,32,1
Symphytum officinale,Symphytum,Boraginaceae,Boraginales,"3, 6 (-4), 6",8,"24, 44, 48",2
Symphytum orientale,Symphytum,Boraginaceae,Boraginales,4,8,32,1
Symphytum tuberosum,Symphytum,Boraginaceae,Boraginales,12,8,96,1
Tanacetum parthenium,Tanacetum,Asteraceae,Asterales,2,9,18,1
Tanacetum vulgare,Tanacetum,Asteraceae,Asterales,2,9,18,1
Taraxacum brachyglossum,Taraxacum,Asteraceae,Asterales,"2, 3",8,"16, 24",2
Teucrium scordium,Teucrium,Lamiaceae,Lamiales,2,17,32,1
Teucrium scorodonia,Teucrium,Lamiaceae,Lamiales,2,17,"32, 34",1
Thalictrum alpinum,Thalictrum,Ranunculaceae,Ranunculales,2,7,14,1
Thalictrum flavum,Thalictrum,Ranunculaceae,Ranunculales,12,7,84,1
Thalictrum minus,Thalictrum,Ranunculaceae,Ranunculales,6,7,42,1
Thesium humifusum,Thesium,Santalaceae,Santalales,4,7,26,1
Thlaspi arvense,Thlaspi,Brassicaceae,Brassicales,2,7,14,1
Thlaspi caerulescens,Thlaspi,Brassicaceae,Brassicales,2,7,14,1
Thlaspi macrophyllum,Thlaspi,Brassicaceae,Brassicales,2,7,14,1
Thymus pulegioides,Thymus,Lamiaceae,Lamiales,12,14,28,1
Thymus vulgaris,Thymus,Lamiaceae,Lamiales,2,15,30,1
Tilia cordata,Tilia,Malvaceae,Malvales,2,41,82,1
Tilia platyphyllos,Tilia,Malvaceae,Malvales,2,41,82,1
Tofieldia pusilla,Tofieldia,Tofieldiaceae,Alismatales,2,15,30,1
Torilis arvensis,Torilis,Apiaceae,Apiales,2,6,12,1
Torilis japonica,Torilis,Apiaceae,Apiales,3,8,16,1
Torilis nodosa,Torilis,Apiaceae,Apiales,2,11,24,1
Tragopogon porrifolius,Tragopogon,Asteraceae,Asterales,2,6,12,1
Tragopogon pratensis,Tragopogon,Asteraceae,Asterales,2,6,12,1
Trifolium arvense,Trifolium,Fabaceae,Fabales,2,7,14,1
Trifolium campestre,Trifolium,Fabaceae,Fabales,2,7,14,1
Trifolium dubium,Trifolium,Fabaceae,Fabales,4,8,32,1
Trifolium fragiferum,Trifolium,Fabaceae,Fabales,2,8,16,1
Trifolium glomeratum,Trifolium,Fabaceae,Fabales,2,8,16,1
Trifolium incarnatum,Trifolium,Fabaceae,Fabales,2,7,14,1
Trifolium medium,Trifolium,Fabaceae,Fabales,10,8,80,1
Trifolium ornithopodioides,Trifolium,Fabaceae,Fabales,2,9,18,1
Trifolium pratense,Trifolium,Fabaceae,Fabales,2,7,14,1
Trifolium scabrum,Trifolium,Fabaceae,Fabales,2,5,10,1
Trifolium striatum,Trifolium,Fabaceae,Fabales,2,7,14,1
Trifolium subterraneum,Trifolium,Fabaceae,Fabales,2,8,16,1
Triglochin maritima,Triglochin,Juncaginaceae,Alismatales,8,6,48,1
Triglochin palustris,Triglochin,Juncaginaceae,Alismatales,4,6,24,1
Tripleurospermum inodorum,Tripleurospermum,Asteraceae,Asterales,"2, 4",9,"18, 36",2
Tripleurospermum maritimum,Tripleurospermum,Asteraceae,Asterales,2,9,18,1
Tripolium pannonicum,Tripolium,Asteraceae,Asterales,2,9,18,1
Trisetum flavescens,Trisetum,Poaceae,Poales,4,7,28,1
Triticum aestivum,Triticum,Poaceae,Poales,6,7,42,1
Turritis glabra,Turritis,Brassicaceae,Brassicales,2,6,12,1
Tussilago farfara,Tussilago,Asteraceae,Asterales,2,30,60,1
Typha latifolia,Typha,Typhaceae,Poales,2,15,30,1
Ulex europaeus,Ulex,Fabaceae,Fabales,6,16,96,1
Ulex gallii,Ulex,Fabaceae,Fabales,"3, 4, 6",16,"48, 64, 96",3
Ulex minor,Ulex,Fabaceae,Fabales,2,16,32,1
Ulmus glabra,Ulmus,Ulmaceae,Rosales,2,14,28,1
Ulmus minor,Ulmus,Ulmaceae,Rosales,2,14,28,1
Urtica dioica,Urtica,Urticaceae,Rosales,4,13,52,1
Urtica galeopsifolia,Urtica,Urticaceae,Rosales,2,13,26,1
Urtica urens,Urtica,Urticaceae,Rosales,2,13,24,1
Vaccinium microcarpum,Vaccinium,Ericaceae,Ericales,2,12,24,1
Vaccinium myrtillus,Vaccinium,Ericaceae,Ericales,2,12,24,1
Vaccinium uliginosum,Vaccinium,Ericaceae,Ericales,3,12,39,1
Vaccinium vitis-idaea,Vaccinium,Ericaceae,Ericales,2,12,24,1
Valeriana dioica,Valeriana,Caprifoliaceae,Dipsacales,2,8,16,1
Valerianella dentata,Valerianella,Caprifoliaceae,Dipsacales,2,8,16,1
Valerianella locusta,Valerianella,Caprifoliaceae,Dipsacales,2,8,16,1
Verbascum nigrum,Verbascum,Scrophulariaceae,Lamiales,2,15,30,1
Verbascum pulverulentum,Verbascum,Scrophulariaceae,Lamiales,2,16,32,1
Verbascum pyramidatum,Verbascum,Scrophulariaceae,Lamiales,2,16,32,1
Verbascum speciosum,Verbascum,Scrophulariaceae,Lamiales,2,14,28,1
Verbascum virgatum,Verbascum,Scrophulariaceae,Lamiales,4,16,64,1
Veronica agrestis,Veronica,Plantaginaceae,Lamiales,4,7,28,1
Veronica alpina,Veronica,Plantaginaceae,Lamiales,2,9,18,1
Veronica anagallis-aquatica,Veronica,Plantaginaceae,Lamiales,4,9,36,1
Veronica arvensis,Veronica,Plantaginaceae,Lamiales,2,9,16,1
Veronica beccabunga,Veronica,Plantaginaceae,Lamiales,2,9,18,1
Veronica catenata,Veronica,Plantaginaceae,Lamiales,4,9,36,1
Veronica chamaedrys,Veronica,Plantaginaceae,Lamiales,4,8,32,1
Veronica hederifolia,Veronica,Plantaginaceae,Lamiales,6,9,54,1
Veronica montana,Veronica,Plantaginaceae,Lamiales,2,9,18,1
Veronica officinalis,Veronica,Plantaginaceae,Lamiales,4,9,36,1
Veronica polita,Veronica,Plantaginaceae,Lamiales,2,7,14,1
Veronica scutellata,Veronica,Plantaginaceae,Lamiales,2,9,18,1
Veronica serpyllifolia,Veronica,Plantaginaceae,Lamiales,2,7,14,1
Veronica verna,Veronica,Plantaginaceae,Lamiales,2,8,16,1
Viburnum lantana,Viburnum,Adoxaceae,Dipsacales,2,9,18,1
Viburnum opulus,Viburnum,Adoxaceae,Dipsacales,2,9,18,1
Viburnum rhytidophyllum,Viburnum,Adoxaceae,Dipsacales,2,9,18,1
Vicia bithynica,Vicia,Fabaceae,Fabales,2,7,14,1
Vicia cracca,Vicia,Fabaceae,Fabales,4,7,28,1
Vicia hirsuta,Vicia,Fabaceae,Fabales,2,7,14,1
Vicia lathyroides,Vicia,Fabaceae,Fabales,2,6,"10, 12",1
Vicia lutea,Vicia,Fabaceae,Fabales,2,7,14,1
Vicia orobus,Vicia,Fabaceae,Fabales,2,6,12,1
Vicia sativa,Vicia,Fabaceae,Fabales,2,6,12,1
Vicia sepium,Vicia,Fabaceae,Fabales,2,7,14,1
Vicia sylvatica,Vicia,Fabaceae,Fabales,2,7,14,1
Vicia tetrasperma,Vicia,Fabaceae,Fabales,2,7,14,1
Viola arvensis,Viola,Violaceae,Malpighiales,2,13,"26, 34",1
Viola canina,Viola,Violaceae,Malpighiales,4,10,40,1
Viola hirta,Viola,Violaceae,Malpighiales,2,10,20,1
Viola lactea,Viola,Violaceae,Malpighiales,6,10,58,1
Viola lutea,Viola,Violaceae,Malpighiales,5,10,"48, 50",1
Viola odorata,Viola,Violaceae,Malpighiales,2,10,20,1
Viola reichenbachiana,Viola,Violaceae,Malpighiales,2,10,20,1
Viola riviniana,Viola,Violaceae,Malpighiales,"4, 5 (-2), 5",10,"40, 48, 50",2
Viola rupestris,Viola,Violaceae,Malpighiales,2,10,20,1
Viola tricolor,Viola,Violaceae,Malpighiales,2,13,26,1
Viscum album,Viscum,Santalaceae,Santalales,2,10,20,1
Vulpia australis,Vulpia,Poaceae,Poales,2,7,14,1
Vulpia bromoides,Vulpia,Poaceae,Poales,2,7,14,1
Vulpia ciliata,Vulpia,Poaceae,Poales,4,7,28,1
Vulpia fasciculata,Vulpia,Poaceae,Poales,"4, 6",7,"28, 42",2
Vulpia membranacea,Vulpia,Poaceae,Poales,4,7,28,1
Vulpia myuros,Vulpia,Poaceae,Poales,6,7,42,1
Vulpia unilateralis,Vulpia,Poaceae,Poales,2,7,14,1
Wahlenbergia hederacea,Wahlenbergia,Campanulaceae,Asterales,4,9,36,1
Wolffia arrhiza,Wolffia,Araceae,Alismatales,2,21,42,1
Zostera angustifolia,Zostera,Zosteraceae,Alismatales,2,6,12,1
Zostera marina,Zostera,Zosteraceae,Alismatales,2,6,12,1
Zostera noltii,Zostera,Zosteraceae,Alismatales,2,6,12,1